K	Ca	Mg	M.O.
0.44	6.01	0.87	18.23
0.4	6.14	0.79	18.78
0.3	2.9	0.58	17.14
0.29	3.91	0.63	18.64
0.26	2.9	0.56	14.99
0.26	3.54	0.65	17.14
0.28	3.41	0.74	16.73
0.28	3.69	0.86	16.73
0.3	3.9	0.79	20.72
0.27	4.51	0.8	21.99
0.35	3.61	0.66	20.58
0.76	5.74	0.65	13.4
0.3	4.14	0.99	13.4
0.35	3.94	0.69	19.61
0.39	4.25	0.71	18.92
0.27	6.07	0.53	20.86
0.22	4.21	0.67	20.31
0.34	4.9	0.81	26.9
0.19	3.4	0.53	20.58
0.28	4.51	0.44	20.17
0.26	3.7	0.57	17.41
0.31	4.69	0.56	18.92
0.04	4.79	0.94	24.13
0.23	3.61	0.6	14.72
0.21	3.41	0.57	15.93
0.19	2.16	0.73	17.01
0.13	1.6	0.8	15.93
0.16	3.06	1.5	26.02
0.2	3.33	0.97	25
0.14	3	0.79	16.2
0.11	2.47	0.82	12.62
0.15	2.46	1.43	14.99
0.2	3.77	0.71	29.13
0.15	2.12	0.72	21.14
0.24	3.35	0.76	16.6
0.21	2.19	0.98	16.87
0.2	2.58	1.12	21.14
0.12	1.94	1.04	16.33
0.17	1.88	0.47	16.33
0.15	2.24	0.75	15.52
0.14	3.45	1.06	19.75
0.19	3.54	1.41	21
0.22	2.97	0.83	15.39
0.26	2.06	0.98	21.85
0.07	0.75	0.66	10.54
0.18	2.33	0.86	18.1
0.2	2.72	1.16	20.58
0.32	3.5	1.4	27.64
0.48	3.54	1.23	23.13
0.33	2.69	0.51	17.41
0.22	3.29	0.58	13.66
0.57	6.56	1.55	30.19
0.45	3.88	0.9	20.17
